ts,open,high,low,close,volume,coin,exchange_id,data_type
1754682180000,116503,116508,116486.2,116486.21,1.19355,BTC,2,perpetual
1754682240000,116507,116507,116440,116440.01,8.7253,BTC,2,perpetual
1754682300000,116451,116515,116440,116500,6.28083,BTC,2,perpetual
1754682360000,116516,116548,116470.46,116470.47,9.6036,BTC,2,perpetual
1754682420000,116481,116481,116440.46,116440.47,1.64043,BTC,2,perpetual
1754682480000,116450,116450,116415,116422.24,2.08341,BTC,2,perpetual
1754682540000,116419,116465,116419,116431.57,3.08579,BTC,2,perpetual
1754682600000,116448,116448,116397.45,116429.37,5.42113,BTC,2,perpetual
1754682660000,116444,116481,116403.99,116466.19,5.20777,BTC,2,perpetual
1754682720000,116479,116479,116440,116440.01,4.16498,BTC,2,perpetual
1754682780000,116449,116449,116439.99,116440,2.03941,BTC,2,perpetual
1754682840000,116441,116491,116432.56,116468.13,9.38491,BTC,2,perpetual
1754682900000,116480,116480,116439.99,116439.99,5.50562,BTC,2,perpetual
1754682960000,116444,116444,116416.07,116416.08,2.17879,BTC,2,perpetual
1754683020000,116424,116450,116409.12,116434,3.87705,BTC,2,perpetual
1754683080000,116436,116436,116412.56,116412.56,3.87882,BTC,2,perpetual
1754683140000,116425,116526,116412.56,116453.41,14.33332,BTC,2,perpetual
1754683200000,116458,116477,116419.32,116448.11,10.05351,BTC,2,perpetual
1754683260000,116454,116454,116406,116406.01,3.63612,BTC,2,perpetual
1754683320000,116415,116415,116360,116398.13,7.54077,BTC,2,perpetual
1754683380000,116390,116398.14,116360,116360,2.45584,BTC,2,perpetual
1754683440000,116365,116365,116306,116349.11,3.85869,BTC,2,perpetual
1754683500000,116358,116386,116349.12,116378.75,2.52278,BTC,2,perpetual
1754683560000,116386,116421,116378.74,116414.69,2.12336,BTC,2,perpetual
1754683620000,116421,116485,116414.69,116460.65,2.07581,BTC,2,perpetual
1754683680000,116481,116491,116457,116460.64,4.45418,BTC,2,perpetual
1754683740000,116458,116460.65,116401,116405.99,5.21017,BTC,2,perpetual
1754683800000,116410,116465,116405.99,116439.98,1.23125,BTC,2,perpetual
1754683860000,116455,116471,116439.98,116448.67,1.13653,BTC,2,perpetual
1754683920000,116471,116494,116448.66,116458.1,3.37914,BTC,2,perpetual
1754683980000,116483,116493,116458.1,116465.64,1.93098,BTC,2,perpetual
1754684040000,116493,116502,116465.63,116473,0.91734,BTC,2,perpetual
1754684100000,116502,116516,116472.99,116498,2.81512,BTC,2,perpetual
1754684160000,116516,116517,116456.82,116456.83,6.42961,BTC,2,perpetual
1754684220000,116475,116475,116451.85,116468.83,2.88896,BTC,2,perpetual
1754684280000,116475,116475,116422.25,116422.26,4.31744,BTC,2,perpetual
1754684340000,116444,116444,116392.67,116408,5.44326,BTC,2,perpetual
1754684400000,116427,116449,116407.99,116425.37,1.76075,BTC,2,perpetual
1754684460000,116449,116477,116425.37,116458.98,2.40911,BTC,2,perpetual
1754684520000,116477,116490,116458.98,116478.18,0.6282,BTC,2,perpetual
1754684580000,116490,116490,116477,116478.18,2.55544,BTC,2,perpetual
1754684640000,116481,116497,116478.17,116478.19,0.70033,BTC,2,perpetual
1754684700000,116497,116512,116478.18,116482.41,0.89839,BTC,2,perpetual
1754684760000,116512,116521,116482.4,116502.48,2.06848,BTC,2,perpetual
1754684820000,116521,116540,116502.22,116502.23,2.2577,BTC,2,perpetual
1754684880000,116516,116518,116502.22,116502.23,0.92253,BTC,2,perpetual
1754684940000,116518,116531,116502.22,116506.66,1.00745,BTC,2,perpetual
1754685000000,116531,116558,116506.65,116539.6,2.40716,BTC,2,perpetual
1754685060000,116559,116560,116539.59,116539.6,0.30077,BTC,2,perpetual
1754685120000,116560,116575,116539.59,116539.6,3.97952,BTC,2,perpetual
1754685180000,116551,116569,116539.59,116547.2,4.88271,BTC,2,perpetual
1754685240000,116569,116589,116547.2,116557.05,3.49917,BTC,2,perpetual
1754685300000,116590,116626,116557.04,116594.36,2.48104,BTC,2,perpetual
1754685360000,116626,116631,116593.99,116600.34,6.70912,BTC,2,perpetual
1754685420000,116629,116634,116600.33,116606,1.18057,BTC,2,perpetual
1754685480000,116634,116637,116605.99,116606,0.57975,BTC,2,perpetual
1754685540000,116631,116631,116605.99,116605.99,1.60483,BTC,2,perpetual
1754685600000,116620,116631,116605.99,116606,1.04237,BTC,2,perpetual
1754685660000,116631,116665,116605.99,116642.33,3.07549,BTC,2,perpetual
1754685720000,116665,116692,116642.33,116660,1.67418,BTC,2,perpetual
1754685780000,116692,116775,116659.99,116735.99,9.03492,BTC,2,perpetual
1754685840000,116770,116827,116735.99,116775.2,4.04247,BTC,2,perpetual
1754685900000,116820,116860,116775.19,116809.99,9.00564,BTC,2,perpetual
1754685960000,116860,116896,116809.99,116857.14,7.30488,BTC,2,perpetual
1754686020000,116895,116936,116857.14,116879.99,14.80845,BTC,2,perpetual
1754686080000,116922,116962,116832,116840,24.27366,BTC,2,perpetual
1754686140000,116891,116910,116811.2,116822.5,5.8839,BTC,2,perpetual
1754686200000,116870,116876,116811.2,116819.51,3.02992,BTC,2,perpetual
1754686260000,116871,116871,116808.35,116808.36,4.32947,BTC,2,perpetual
1754686320000,116851,116851,116793.04,116793.04,4.01139,BTC,2,perpetual
1754686380000,116837,116840,116793.03,116793.03,1.30586,BTC,2,perpetual
1754686440000,116840,116865,116793.03,116823.99,5.27115,BTC,2,perpetual
1754686500000,116865,116865,116823.99,116823.99,1.62521,BTC,2,perpetual
1754686560000,116865,116884,116823.99,116839.99,3.98467,BTC,2,perpetual
1754686620000,116884,116894,116839.99,116840,11.84718,BTC,2,perpetual
1754686680000,116867,116887,116839.99,116851.9,8.09994,BTC,2,perpetual
1754686740000,116887,116936,116851.9,116888.52,7.75278,BTC,2,perpetual
1754686800000,116936,116936,116864.18,116864.19,8.29315,BTC,2,perpetual
1754686860000,116909,116909,116831.96,116849.97,4.42632,BTC,2,perpetual
1754686920000,116890,116890,116841.46,116841.46,3.0698,BTC,2,perpetual
1754686980000,116880,116889,116836.44,116836.45,3.56983,BTC,2,perpetual
1754687040000,116882,116882,116794,116794.01,4.35061,BTC,2,perpetual
1754687100000,116836,116849,116794,116810,5.50256,BTC,2,perpetual
1754687160000,116849,116856,116809.99,116809.99,0.83229,BTC,2,perpetual
1754687220000,116853,116853,116809.99,116816.9,3.62749,BTC,2,perpetual
1754687280000,116849,116874,116816.9,116830,1.90213,BTC,2,perpetual
1754687340000,116874,116877,116822.19,116822.19,6.52929,BTC,2,perpetual
1754687400000,116867,116868,116809.99,116819.99,2.60271,BTC,2,perpetual
